# experiment_type: task_scaling
# Ks: [2, 3]
# Ts: [5, 10, 15, 20]
# num_bays_rule: equal_to_T
# time_limit: 1000.0
# mip_gap: None
# seeds: [1, 2, 3, 4, 5]
experiment_type,K,T,num_bays,seed,time_limit,status,objective,makespan,gap_percent,runtime,best_bound,node_count,sol_count
task_scaling,2,5,5,1,1000.0,OPTIMAL,26233.762651324905,258.0223089214501,0.0,0.13899993896484375,26233.7626513249,425.0,2
task_scaling,2,5,5,2,1000.0,OPTIMAL,28305.9961513284,278.46387617256426,0.0,0.2070000171661377,28305.9961513284,792.0,9
task_scaling,2,5,5,3,1000.0,OPTIMAL,27825.576247923014,273.7582980137598,0.0,0.16700005531311035,27825.576247923014,602.0,10
task_scaling,2,5,5,4,1000.0,OPTIMAL,29871.883071158903,294.1253918180233,0.0,0.21799993515014648,29871.883071158903,932.0,4
task_scaling,2,5,5,5,1000.0,OPTIMAL,29195.179041419655,287.09392754118016,0.0,0.17499995231628418,29195.179041419655,560.0,6
task_scaling,2,10,10,1,1000.0,TIME_LIMIT,56331.75733676982,552.8099952895627,87.79890232855718,1000.0090000629425,6873.092732699443,1088632.0,10
task_scaling,2,10,10,2,1000.0,TIME_LIMIT,58262.27304462609,571.2533967002614,90.85850026726423,1000.0010001659393,5326.045534660277,1113176.0,6
task_scaling,2,10,10,3,1000.0,TIME_LIMIT,39804.7636485808,390.29055744442775,86.34719003860639,1000.0030000209808,5434.468736522627,890486.0,10
task_scaling,2,10,10,4,1000.0,TIME_LIMIT,45909.00083137995,450.3978949190562,84.54591263742073,1000.0009999275208,7094.817095768703,598116.0,10
task_scaling,2,10,10,5,1000.0,TIME_LIMIT,46842.88093178995,459.57064642555565,93.84482430501079,1000.0030000209808,2883.2616219462698,1190335.0,10
task_scaling,2,15,15,1,1000.0,TIME_LIMIT,69082.04046182874,677.2999392669294,97.55788828376534,1000.0009999275208,1687.0606039322922,573358.0,10
task_scaling,2,15,15,2,1000.0,TIME_LIMIT,90059.20811251273,882.997163708417,94.30813762065375,1000.0060000419617,5126.046185693249,618457.0,10
task_scaling,2,15,15,3,1000.0,TIME_LIMIT,66510.88767170887,652.108938055556,94.91934110412879,1000.0,3379.191331215591,530992.0,10
task_scaling,2,15,15,4,1000.0,TIME_LIMIT,60779.279583327225,596.0328935800378,96.15800317103027,1000.0099999904633,2335.1379942620756,572520.0,10
task_scaling,2,15,15,5,1000.0,TIME_LIMIT,68483.02171717111,671.4681621419729,91.2075905409296,1000.0020000934601,6021.307679317789,535843.0,10
task_scaling,2,20,20,1,1000.0,TIME_LIMIT,105880.33905710133,1038.0538735369446,99.1702825019159,1000.0,878.5077001875303,384687.0,10
task_scaling,2,20,20,2,1000.0,TIME_LIMIT,106765.90728280468,1046.745912891994,96.37452613580604,1000.0,3870.7700644076376,346378.0,10
task_scaling,2,20,20,3,1000.0,TIME_LIMIT,90222.92413800623,884.9547019902496,96.04405818651642,1000.0140001773834,3569.166381322951,364417.0,10
task_scaling,2,20,20,4,1000.0,TIME_LIMIT,89701.10968428692,879.6222612954634,96.2842826714595,1000.0010001659393,3333.039676432178,418151.0,10
task_scaling,2,20,20,5,1000.0,TIME_LIMIT,89347.66382195707,876.0553518479395,98.3896158499418,1000.0119998455048,1438.840616636076,276568.0,10
task_scaling,3,5,5,1,1000.0,OPTIMAL,17784.476785018232,173.50945025838433,0.0,0.16000008583068848,17784.476785018232,268.0,2
task_scaling,3,5,5,2,1000.0,OPTIMAL,26765.471912784153,262.28720828328267,0.004206235508366596,0.23200011253356934,26764.346094000575,689.0,8
task_scaling,3,5,5,3,1000.0,OPTIMAL,27759.99162462964,272.7582980138099,0.0,0.23799991607666016,27759.99162462964,835.0,5
